date,counter,potentielle matches,timezone
Last update --2023-02-26 14:20:03,30,705,"Europe/Madrid (UTC +01:00)
                  
    13:22"
Last update --2023-03-06 13:12:18,99,150,"Europe/Madrid (UTC +01:00)
                  
    12:13"
Last update --2023-03-06 16:00:35,91,133,"Europe/Madrid (UTC +01:00)
                  
    15:01"
Last update --2023-03-07 15:24:12,274,260,"Europe/Madrid (UTC +01:00)
                  
    14:25"
Last update --2023-03-07 16:52:19,123,255,"Europe/Madrid (UTC +01:00)
                  
    15:53"
Last update --2023-03-07 17:20:05,129,250,"Europe/Madrid (UTC +01:00)
                  
    16:20"
Last update --2023-03-07 18:20:04,132,248,"Europe/Madrid (UTC +01:00)
                  
    17:21"
Last update --2023-03-07 19:20:02,137,249,"Europe/Madrid (UTC +01:00)
                  
    18:20"
Last update --2023-03-07 20:20:02,136,259,"Europe/Madrid (UTC +01:00)
                  
    19:20"
Last update --2023-03-07 21:20:03,137,268,"Europe/Madrid (UTC +01:00)
                  
    20:20"
Last update --2023-03-07 22:20:02,89,201,"Europe/Madrid (UTC +01:00)
                  
    21:20"
Last update --2023-03-07 22:50:02,96,202,"Europe/Madrid (UTC +01:00)
                  
    21:50"
Last update --2023-03-07 23:20:02,92,202,"Europe/Madrid (UTC +01:00)
                  
    22:20"
Last update --2023-03-07 23:50:02,92,203,"Europe/Madrid (UTC +01:00)
                  
    22:50"
Last update --2023-03-08 00:20:02,92,211,"Europe/Madrid (UTC +01:00)
                  
    23:20"
Last update --2023-03-08 00:50:02,99,214,"Europe/Madrid (UTC +01:00)
                  
    23:50"
Last update --2023-03-08 01:20:02,101,206,"Europe/Madrid (UTC +01:00)
                  
    00:20"
Last update --2023-03-08 01:50:02,95,205,"Europe/Madrid (UTC +01:00)
                  
    00:50"
Last update --2023-03-08 02:20:02,99,210,"Europe/Madrid (UTC +01:00)
                  
    01:20"
Last update --2023-03-08 02:50:02,100,213,"Europe/Madrid (UTC +01:00)
                  
    01:50"
Last update --2023-03-08 03:20:02,103,216,"Europe/Madrid (UTC +01:00)
                  
    02:20"
Last update --2023-03-08 03:50:02,101,216,"Europe/Madrid (UTC +01:00)
                  
    02:50"
Last update --2023-03-08 04:20:02,100,215,"Europe/Madrid (UTC +01:00)
                  
    03:20"
Last update --2023-03-08 04:50:03,109,215,"Europe/Madrid (UTC +01:00)
                  
    03:51"
Last update --2023-03-08 05:20:02,102,214,"Europe/Madrid (UTC +01:00)
                  
    04:20"
Last update --2023-03-08 05:50:02,113,214,"Europe/Madrid (UTC +01:00)
                  
    04:50"
Last update --2023-03-08 06:20:02,121,215,"Europe/Madrid (UTC +01:00)
                  
    05:20"
Last update --2023-03-08 06:50:02,117,215,"Europe/Madrid (UTC +01:00)
                  
    05:50"
Last update --2023-03-08 07:20:02,116,215,"Europe/Madrid (UTC +01:00)
                  
    06:20"
Last update --2023-03-08 07:50:02,125,215,"Europe/Madrid (UTC +01:00)
                  
    06:50"
Last update --2023-03-08 08:20:02,127,215,"Europe/Madrid (UTC +01:00)
                  
    07:20"
Last update --2023-03-08 08:50:03,128,214,"Europe/Madrid (UTC +01:00)
                  
    07:50"
Last update --2023-03-08 09:20:02,134,218,"Europe/Madrid (UTC +01:00)
                  
    08:20"
Last update --2023-03-08 09:50:02,143,222,"Europe/Madrid (UTC +01:00)
                  
    08:50"
Last update --2023-03-08 10:20:02,138,226,"Europe/Madrid (UTC +01:00)
                  
    09:20"
Last update --2023-03-08 10:50:02,131,216,"Europe/Madrid (UTC +01:00)
                  
    09:50"
Last update --2023-03-08 11:20:02,129,214,"Europe/Madrid (UTC +01:00)
                  
    10:20"
Last update --2023-03-08 11:50:02,133,216,"Europe/Madrid (UTC +01:00)
                  
    10:50"
Last update --2023-03-08 12:20:02,118,202,"Europe/Madrid (UTC +01:00)
                  
    11:20"
Last update --2023-03-08 13:23:48,0,50,"Europe/Madrid (UTC +01:00)
                  
    12:24"
Last update --2023-03-08 13:50:04,114,198,"Europe/Madrid (UTC +01:00)
                  
    12:51"
Last update --2023-03-08 14:50:03,101,191,"Europe/Madrid (UTC +01:00)
                  
    13:50"
Last update --2023-03-08 15:50:03,94,179,"Europe/Madrid (UTC +01:00)
                  
    14:50"
Last update --2023-03-08 16:50:12,90,172,"Europe/Madrid (UTC +01:00)
                  
    15:51"
Last update --2023-03-08 17:50:03,90,177,"Europe/Madrid (UTC +01:00)
                  
    16:50"
Last update --2023-03-08 18:50:10,78,173,"Europe/Madrid (UTC +01:00)
                  
    17:51"
Last update --2023-03-08 19:50:03,79,174,"Europe/Madrid (UTC +01:00)
                  
    18:50"
Last update --2023-03-08 20:50:03,86,173,"Europe/Madrid (UTC +01:00)
                  
    19:50"
Last update --2023-03-08 21:50:04,88,159,"Europe/Madrid (UTC +01:00)
                  
    20:50"
